product_id,product_name,category,price,cost,supplier,stock_quantity,created_date
1,Laptop Pro,Electronics,1299.99,800.00,TechCorp,50,2023-01-01
2,Wireless Mouse,Electronics,29.99,15.00,TechCorp,200,2023-01-01
3,Office Chair,Furniture,249.99,150.00,FurniturePlus,75,2023-01-01
4,Desk Lamp,Furniture,79.99,45.00,FurniturePlus,100,2023-01-01
5,Coffee Maker,Appliances,149.99,90.00,HomeGoods,30,2023-01-01
6,Bluetooth Speaker,Electronics,99.99,60.00,TechCorp,80,2023-01-01
7,Standing Desk,Furniture,399.99,250.00,FurniturePlus,25,2023-01-01
8,Tablet,Electronics,599.99,350.00,TechCorp,40,2023-01-01
9,Air Purifier,Appliances,199.99,120.00,HomeGoods,35,2023-01-01
10,Ergonomic Keyboard,Electronics,129.99,75.00,TechCorp,60,2023-01-01